Product Name,Price,Speed,Control,Weight (g)
JOOLA Wing Medium,$59.95 ,70,88,80
JOOLA Wing Medium Jr,$49.95 ,70,88,80
JOOLA ZeLeBRO PBO-c,$169.95 ,105,55,90
Nittaku Acoustic,$159.99 ,86,67,n/a
Nittaku Acoustic Carbon,$168.95 ,92,65,n/a
Nittaku Violin,$164.95 ,88,65,88
Sanwei Accumulator J,$8.95 ,n/a,n/a,n/a
Sanwei Feather Carbon,$34.95 ,n/a,n/a,n/a
Sanwei Fextra,$29.95 ,n/a,n/a,89
Sanwei HC Speed Light,$35.95 ,n/a,n/a,n/a
Sanwei LD Light,$18.95 ,n/a,n/a,n/a
Sanwei M8,$9.99 ,n/a,n/a,n/a
Sanwei Multilayer C,$34.95 ,n/a,n/a,n/a
Sanwei Multilayer W,$29.95 ,n/a,n/a,n/a
Sanwei Pro F3,$39.95 ,n/a,n/a,90
Sanwei Pro V5,$39.95 ,n/a,n/a,90
Sanwei V1,$19.95 ,n/a,n/a,n/a
Stiga Allround Classic  B ,$36.99 ,73,77,85
Stiga Allround Classic - Chinese Penhold  N ,$42.95 ,73,84,80
Stiga Allround Classic Carbon,$74.95 ,82,76,81
Stiga Allround Classic WRB,$42.95 ,75,76,77
Stiga Allround CR WRB - Chinese Penhold  N ,$44.95 ,69,80,75
Stiga Carbonado 145,$199.95 ,98,60,90
Stiga Carbonado 290,$164.41 ,99,58,97
Stiga Celero Wood,$59.95 ,86,70,90
Stiga Clipper Classic,$69.95 ,88,62,95
Stiga Clipper CR,$76.95 ,91,65,87
Stiga Clipper CR WRB,$76.95 ,90,63,87
Stiga Clipper WRB  N ,$69.99 ,n/a,n/a,n/a
Stiga Defensive Pro,$84.95 ,80,77,80
Stiga Eternity VPS V,$89.95 ,90,64,90
Stiga Infinity VPS V Diamond Touch,$74.95 ,88,65,83
Stiga Intensity NCT,$129.95 ,88,68,82
Stiga Nostalgic VII,$114.95 ,93,64,80
Stiga Offensive Classic  N ,$49.95 ,81,74,81
Stiga Offensive Classic Carbon,$89.95 ,93,62,82
Stiga Offensive Classic WRB,$54.95 ,84,72,78
Stiga Offensive Wood NCT,$54.95 ,89,67,83
Stiga Rosewood NCT V,$169.95 ,86,69,93
Stiga Rosewood NCT VII,$174.95 ,91,60,97
TSP Special Dynam 10.0 - Japanese Penhol...,$179.99 ,100,40,93
TSP Special Dynam 9.0 - Japanese Penhold,$179.99 ,100,40,87
TSP Spin Ace Carbon - Japanese Penhold,$71.99 ,100,80,60
TSP Stash,$24.29 ,81,85,85
Victas Fire Fall AC,$109.99 ,96,79,84
Victas Fire Fall FC,$99.99 ,92,86,84
Victas Fire Fall SC,$109.99 ,94,81,84
Victas Fire Fall VC,$169.99 ,96,79,92
Victas Koji Matsushita,$87.99 ,55,91,85
Victas Koji Matsushita Defensive,$87.99 ,52,94,83
Victas Koji Matsushita Offensive,$87.99 ,62,87,94
Victas Koji Matsushita Special,$129.99 ,78,99,90
Victas Koki Niwa,$129.99 ,97,80,88
Victas ZX-Gear Fiber,$99.95 ,87,80,85
Victas ZX-Gear In,$119.99 ,89,80,89
Victas ZX-Gear Out,$119.99 ,89,80,89
XIOM Allround S,$54.99 ,73,77,85
XIOM Feel SX,$59.95 ,84,65,92
XIOM Feel ZX1,$69.95 ,92,64,93
XIOM Ice Cream AZXi,$199.95 ,92,80,90
XIOM Offensive S,$59.99 ,82,74,87
Yasaka 2040,$29.95 ,74,82,79
Yasaka Allround Plus,$41.95 ,79,75,88
Yasaka Balsa Wood,$39.95 ,89,74,65
Yasaka Battle Balsa,$39.95 ,93,71,75
Yasaka Battle Balsa - Chinese Penhold,$39.95 ,93,71,67
Yasaka Carbon 3D,$49.95 ,89,79,90
Yasaka Dynamix 17,$72.95 ,92,55,90
Yasaka Ebony Carbon,$65.85 ,98,52,90
Yasaka Extra 3D,$42.95 ,80,85,83
Yasaka Extra 3D Soft Carbon,$58.95 ,89,82,89
Yasaka Extra 7,$39.95 ,90,80,90
Yasaka Extra Offensive 7 Power,$59.95 ,100,75,90
Yasaka Extra Special,$53.95 ,91,66,88
Yasaka Extra Special - Chinese Penhold,$74.95 ,91,66,88
Yasaka Galaxya,$41.95 ,95,64,92
Yasaka Galaxya - Chinese Penhold,$41.95 ,95,64,92
Yasaka Galaxya Carbon,$49.95 ,99,68,90
Yasaka Goiabao 5,$43.95 ,92,63,86
Yasaka Goiabao 5 - Chinese Penhold,$43.95 ,92,63,86
Yasaka Ma Lin Carbon,$59.95 ,93,75,84
Yasaka Ma Lin Carbon - Chinese Penhold,$59.95 ,93,75,88
Yasaka Ma Lin Extra Offensive  B ,$38.69 ,90,74,86
Yasaka Ma Lin Extra Offensive - Chinese ...,$38.69 ,90,74,86
Yasaka Ma Lin Extra Special  N ,$59.99 ,90,74,90
Yasaka Ma Lin Extra Special - Chinese Pe...,$72.95 ,90,74,88
Yasaka Ma Lin Max Carbon - Chinese Penho...,$72.95 ,100,67,90
Yasaka Ma Lin Soft Carbon  B ,$59.95 ,92,83,89
Yasaka Ma Lin Soft Carbon - Chinese Penh...,$59.95 ,92,83,89
Yasaka Max Carbon 3D,$45.25 ,100,69,90
Yasaka Max Carbon 3D - Chinese Penhold,$45.25 ,100,69,90
